"Source:","/home/greg/projects/ArcticKoala/hw/ArcticKoala-r0.1/arctic-koala.sch"
"Date:","Mon 16 Dec 2019 09:15:44 ACDT"
"Tool:","Eeschema 5.1.4-e60b266~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","117"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Key","MFN","Mfg","PN","Source"
"","","R6","2k2","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF2201X","ANY"
"","","R7","2k2","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF2201X","ANY"
"","","R8","12k","pkl_R_Small","pkl_dipol:R_0402","","","1% current reference","res-0402-12k","","Yageo","RC0402FR-0712KL","ANY"
"","","R9","10k","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-10k","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1002X","ANY"
"","","R10","2k2","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF2201X","ANY"
"","","R11","10k","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","","res-0402cv-array-4-10k","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V103JX","ANY"
"","","R12","450k","R","pkl_dipol:R_0402","~","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF4533X",""
"","","R13","10k","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-10k","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1002X","ANY"
"","","R14","30R","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF30R0X","ANY"
"","","R15","330E","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF3300X","ANY"
"","","R16","100k","R","pkl_dipol:R_0402","~","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1003X",""
"","","R17","120k","R","pkl_dipol:R_0402","~","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1203X",""
"","","R18","180k","R","pkl_dipol:R_0402","~","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1803X",""
"","","R19","360k","R","pkl_dipol:R_0402","~","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF3603X",""
"","","R20","33E","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","","res-0402cv-array-4-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V330JX","ANY"
"","","R21","33E","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","","res-0402cv-array-4-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V330JX","ANY"
"","","R22","33E","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","","res-0402cv-array-4-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V330JX","ANY"
"","","R23","33E","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","","res-0402cv-array-4-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V330JX","ANY"
"","","R24","33E","pkl_R4_Small","pkl_dipol:R_Array_Convex_4x0402","","","","res-0402cv-array-4-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","EXB-28V330JX","ANY"
"","","R25","180k","R","pkl_dipol:R_0402","~","","","","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF1803X",""
